"id","distance","movingTime","elapsedTime","startDate","averageSpeed","totalElevationGain"
"214144762","3533.4","PT22M54S","PT24M4S","2014-11-01T11:01:35Z","2.572","0"
"214959724","3465.8","PT22M55S","PT23M40S","2014-11-03T06:15:07Z","2.521","0"
"215686507","4036.7","PT26M55S","PT27M45S","2014-11-05T06:15:28Z","2.5","10"
"216285476","3731","PT25M9S","PT25M58S","2014-11-06T20:50:53Z","2.472","0"
"216767786","4113.9","PT25M49S","PT26M5S","2014-11-08T11:16:46Z","2.656","0"
"217479126","4555.5","PT24M46S","PT25M1S","2014-11-09T20:03:25Z","3.066","0"
"217617177","4154.7","PT29M39S","PT30M34S","2014-11-10T06:08:57Z","2.335","0"
"218368082","3322.7","PT22M10S","PT22M59S","2014-11-12T06:30:20Z","2.498","0"
"219337301","3087.6","PT18M5S","PT19M46S","2014-11-15T09:16:16Z","2.846","0"
"221161684","2781.3","PT17M1S","PT17M8S","2014-11-20T06:12:11Z","2.724","0"
"221809760","3088.5","PT22M4S","PT26M3S","2014-11-22T08:38:51Z","2.333","0"
"222626488","3274.3","PT22M11S","PT22M43S","2014-11-24T06:30:01Z","2.46","0"
"223310360","3810","PT22M52S","PT23M5S","2014-11-26T06:16:40Z","2.777","0"
"223964715","3540.5","PT20M45S","PT20M50S","2014-11-28T06:18:29Z","2.844","0"
"224287690","4136","PT22M20S","PT22M24S","2014-11-29T09:02:46Z","3.087","10"
"225073326","4671.4","PT26M35S","PT26M35S","2014-12-01T06:15:21Z","2.929","0"
"225727092","4703.9","PT28M18S","PT28M30S","2014-12-03T06:16:27Z","2.77","10"
"226351235","3862.1","PT22M58S","PT22M58S","2014-12-05T07:59:15Z","2.803","0"
"236154108","3311.7","PT18M40S","PT18M45S","2015-01-03T16:09:56Z","2.957","37"
"236824674","3274.8","PT17M38S","PT17M45S","2015-01-04T21:16:35Z","3.095","0"
"239046050","3294.8","PT18M41S","PT18M51S","2015-01-10T09:29:37Z","2.939","0"
"239517993","3382.5","PT22M50S","PT25M11S","2015-01-11T10:05:09Z","2.469","0"
"240409089","5331.1","PT30M54S","PT31M19S","2015-01-13T06:30Z","2.875","11"
"241463342","3336.9","PT24M8S","PT24M56S","2015-01-15T19:07:10Z","2.304","0"
"242144338","3801.3","PT27M4S","PT30M29S","2015-01-17T12:24:34Z","2.341","0"
"242950256","4829.5","PT26M15S","PT28M41S","2015-01-18T20:49:41Z","3.066","10"
"243496357","3584.3","PT22M18S","PT22M18S","2015-01-20T06:19:01Z","2.679","0"
"244807161","3292.2","PT19M43S","PT19M59S","2015-01-23T06:12Z","2.783","0"
"246304719","3564","PT20M42S","PT20M42S","2015-01-26T06:17:52Z","2.87","10"
"247618692","3213.6","PT19M59S","PT20M20S","2015-01-29T06:14:36Z","2.68","0"
"249370481","3237.6","PT18M43S","PT18M53S","2015-02-02T06:20:26Z","2.883","0"
"250418374","4913.2","PT27M44S","PT27M55S","2015-02-04T19:45:41Z","2.953","10"
"250995755","3539.8","PT19M48S","PT19M53S","2015-02-06T06:16:41Z","2.98","11"
"252314112","4480.4","PT24M56S","PT25M7S","2015-02-08T21:02:19Z","2.995","11"
"252867318","3404.1","PT24M21S","PT25M51S","2015-02-10T06:14:12Z","2.33","0"
"253329629","3850.1","PT22M37S","PT22M53S","2015-02-11T06:12:02Z","2.837","0"
"253771215","3240.8","PT19M30S","PT19M50S","2015-02-12T06:04:47Z","2.77","0"
"254687402","3908.5","PT21M31S","PT21M39S","2015-02-14T13:12:14Z","3.027","0"
"255620169","3287.1","PT19M7S","PT19M26S","2015-02-16T06:16:29Z","2.866","0"
"256740339","3261.2","PT17M23S","PT17M23S","2015-02-18T18:48:15Z","3.127","10"
"257342074","4689.6","PT27M44S","PT28M6S","2015-02-20T06:19:37Z","2.818","11"
"258099568","3203.2","PT15M40S","PT15M40S","2015-02-21T22:42:34Z","3.408","0"
"258746210","3983.8","PT23M47S","PT23M53S","2015-02-23T06:19:13Z","2.792","0"
"259558400","3116.1","PT17M48S","PT17M55S","2015-02-25T06:18:39Z","2.918","0"
"260394785","3185.8","PT18M44S","PT18M55S","2015-02-27T06:28:46Z","2.834","10"
"262266790","3176.7","PT19M25S","PT19M31S","2015-03-03T06:07:40Z","2.727","0"
"263460240","2694.9","PT14M53S","PT14M53S","2015-03-05T19:55:27Z","3.018","0"
"264722363","3326.8","PT23M23S","PT26M13S","2015-03-08T10:25:45Z","2.371","0"
"265789970","3348.8","PT19M40S","PT19M50S","2015-03-10T06:12:26Z","2.838","10"
"266845783","3261.6","PT24M7S","PT24M11S","2015-03-12T06:33:18Z","2.254","10"
"268166617","4866.2","PT26M56S","PT27M","2015-03-14T19:49:43Z","3.011","12"
"268970858","4620.6","PT27M47S","PT28M3S","2015-03-16T06:15:24Z","2.772","12"
"270548237","3864","PT21M53S","PT22M17S","2015-03-19T06:30:48Z","2.943","12"
"272580587","3315.3","PT18M18S","PT18M23S","2015-03-22T20:47:53Z","3.019","10"
"273210240","3604.1","PT20M26S","PT20M31S","2015-03-24T06:42:37Z","2.94","10"
"274556200","3301.9","PT18M55S","PT19M11S","2015-03-26T22:06:21Z","2.909","10"
"275515144","3653.2","PT19M41S","PT20M51S","2015-03-28T20:10:42Z","3.093","10"
"276265146","3834","PT22M59S","PT23M23S","2015-03-30T06:23:23Z","2.78","0"
"277786711","3595.7","PT24M53S","PT25M29S","2015-04-02T06:25:59Z","2.408","10"
"279541584","3560.1","PT19M24S","PT19M28S","2015-04-05T11:28:15Z","3.059","10"
"280701501","3531.6","PT20M33S","PT20M33S","2015-04-07T06:16:48Z","2.864","10"
"281894408","3264.7","PT19M36S","PT19M41S","2015-04-09T06:37:50Z","2.776","0"
"284239129","3716.4","PT24M3S","PT37M49S","2015-04-12T20:09Z","2.575","22"
"288692033","2341.5","PT13M22S","PT17M48S","2015-04-19T19:12:16Z","2.92","0"
"288941177","3553.7","PT20M23S","PT20M28S","2015-04-20T06:38:36Z","2.906","10"
"290214380","2946.9","PT18M56S","PT22M10S","2015-04-22T06:13:22Z","2.594","0"
"291477091","3309.9","PT19M27S","PT21M11S","2015-04-24T06:29:12Z","2.836","0"
"293001012","4390.8","PT22M44S","PT24M12S","2015-04-26T16:36:52Z","3.219","0"
"293376830","4805.7","PT26M37S","PT26M52S","2015-04-27T06:15Z","3.009","11"
"294596757","3161.1","PT18M16S","PT18M23S","2015-04-29T06:23:46Z","2.884","10"
"295778391","3335.9","PT18M14S","PT18M31S","2015-05-01T06:24:52Z","3.049","10"
"298127025","3631.3","PT19M15S","PT19M43S","2015-05-04T18:15:44Z","3.144","0"
"299029250","3225.6","PT18M12S","PT18M12S","2015-05-06T06:31:47Z","2.954","10"
"302211135","3526.9","PT20M20S","PT20M20S","2015-05-11T06:21:02Z","2.891","10"
"303491042","4534.6","PT26M4S","PT26M35S","2015-05-13T06:12:22Z","2.899","11"
"304804480","3085.1","PT17M15S","PT17M32S","2015-05-15T06:26:15Z","2.981","0"
"306829037","3608.5","PT19M29S","PT19M36S","2015-05-18T06:18:54Z","3.087","10"
"308002334","2957.7","PT20M49S","PT22M27S","2015-05-20T06:29:35Z","2.368","0"
"309255343","3660.7","PT19M29S","PT19M36S","2015-05-22T06:22:19Z","3.131","0"
"311247071","4274.1","PT24M40S","PT25M4S","2015-05-25T07:26:57Z","2.888","0"
"312629236","3285","PT19M10S","PT20M7S","2015-05-27T05:46:33Z","2.857","0"
"313960125","3703.1","PT20M40S","PT20M54S","2015-05-29T05:47:16Z","2.986","0"
"315302070","3708.3","PT18M52S","PT19M9S","2015-05-31T10:12:13Z","3.276","0"
"315983584","2296.8","PT11M40S","PT11M59S","2015-06-01T06:44:48Z","3.281","0"
"317170464","3268.4","PT19M10S","PT19M26S","2015-06-03T05:44:59Z","2.842","0"
"318611284","3532.6","PT20M4S","PT20M9S","2015-06-05T05:40:32Z","2.934","0"
"320864456","3066.2","PT16M54S","PT17M10S","2015-06-08T06:22:19Z","3.024","0"
"322228975","3582","PT20M42S","PT20M53S","2015-06-10T06:17:33Z","2.884","0"
"323685457","4288.5","PT22M28S","PT23M19S","2015-06-12T05:39:26Z","3.181","0"
"325522466","1827.1","PT12M21S","PT13M17S","2015-06-14T19:44:02Z","2.466","0"
"327083273","3696.9","PT21M2S","PT21M53S","2015-06-17T06:10:01Z","2.929","0"
